AREOPORTO_PARTENZA,AREOPORTO_ARRIVO,PAESE_PART,ZONA,tot_investigati,tasso_allarme,alert_rate_alb,pct_respinto,pct_segnalato,anomaly_iso,anomaly_lof,anomaly_zscore,anomaly_consensus,n_flags,anomaly_score
tgd,mxp,montenegro,2,215.0,0.3953488372093023,0.421875,0.2857142857142857,0.14285714285714285,0,0,0,0,0,0.15118937955037523
stn,mxp,regno unito,2,115.0,0.21739130434782608,0.22857142857142856,0.21568627450980393,0.19607843137254902,0,0,0,0,0,0.14560801036239332
phl,fco,stati uniti,5,2.0,0.5,0.5,0.5,0.0,0,0,0,0,0,0.14552500671416754
lrm,fco,repubblica dominicana,5,3.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0,0,1,0,0,0.14545652865390205
tpe,fco,taiwan,5,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.14395592146577008
stn,suf,regno unito,6,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.14333419771566788
cai,fco,egitto,5,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.14173116476271957
tlv,mxp,israele,2,2.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.14163860892287186
ssh,bri,egitto,9,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.13980811773518764
tia,flr,albania,8,364.0,0.19230769230769232,0.19230769230769232,0.42857142857142855,0.2857142857142857,0,0,0,0,0,0.1355804473152006
brs,trn,regno unito,1,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0.13530264079848814
lgw,flr,regno unito,8,15.0,0.26666666666666666,0.2857142857142857,0.2727272727272727,0.18181818181818182,0,0,0,0,0,0.1345979273678736
lgw,vce,regno unito,4,47.0,0.1702127659574468,0.1891891891891892,0.25,0.16666666666666666,0,0,0,0,0,0.13219308427822632
atl,fco,stati uniti,5,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.13189418475112624
auh,mxp,emirati arabi uniti,2,9.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.5,0,0,0,0,0,0.13153321283252936
bfs,bgy,regno unito,2,10.0,0.2,0.2,0.4,0.0,0,0,0,0,0,0.12969513309586847
edi,nap,regno unito,6,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.12955384348553475
del,fco,india,5,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.1293142439544875
gyd,fco,azerbaigian,5,1.0,0.0,0.0,0.0,0.2,0,0,0,0,0,0.12871820980740223
auh,fco,emirati arabi uniti,5,37.0,0.16216216216216217,0.18518518518518517,0.23809523809523808,0.14285714285714285,0,0,0,0,0,0.1267656837696993
lhr,vce,regno unito,4,5.0,0.0,0.0,0.6666666666666666,0.0,0,0,0,0,1,0.12637365138993464
mia,fco,stati uniti,5,14.0,0.07142857142857142,0.07142857142857142,0.0,0.16666666666666666,0,0,0,0,0,0.125044803565549
amm,mxp,giordania,2,4.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0.1245952393196309
kiv,mxp,moldavia,2,2.0,0.5,0.5,0.0,0.0,0,0,0,0,0,0.12340719692509992
rmf,bgy,egitto,2,2.0,0.5,0.5,0.0,0.0,0,0,0,0,0,0.12340719692509992
