AREOPORTO_PARTENZA,AREOPORTO_ARRIVO,PAESE_PART,ZONA,tot_investigati,tasso_allarme,alert_rate_alb,pct_respinto,pct_segnalato,anomaly_iso,anomaly_lof,anomaly_zscore,anomaly_consensus,n_flags,anomaly_score
lhr,lin,regno unito,2,18.0,0.05555555555555555,0.058823529411764705,0.45454545454545453,0.09090909090909091,0,0,1,0,0,0.3166192021989282
ist,vce,turchia,4,23.0,0.5652173913043478,0.5,0.18181818181818182,0.2727272727272727,0,0,1,0,1,0.31439937722530975
tun,blq,tunisia,8,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0.3124633272847557
kwi,fco,kuwait,5,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.3010338109525675
bhx,vrn,regno unito,4,6.0,0.5,0.4,0.25,0.0,0,0,1,0,0,0.29709130032898917
sin,mxp,singapore,2,2.0,0.5,1.0,1.0,0.0,0,0,1,0,0,0.29482176001931304
tia,tsf,albania,4,12349.0,0.1720787108267876,0.1718843299496716,0.21666666666666667,0.23333333333333334,0,0,1,0,0,0.2911795980272673
tia,goa,albania,1,5315.0,0.24101599247412983,0.24912641315519013,0.12280701754385964,0.21052631578947367,0,0,1,0,0,0.2909556854910706
alg,mxp,algeria,2,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0.2883547026454616
tia,ciy,albania,7,707.0,0.157001414427157,0.157001414427157,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0.2876233126150092
rak,bgy,marocco,2,10.0,0.2,0.2222222222222222,0.2,0.2,0,0,1,0,0,0.286476540754932
jed,vce,arabia saudita,4,8.0,0.375,0.16666666666666666,0.4,0.0,0,0,1,0,0,0.2860916158340668
tia,mxp,albania,2,17849.0,0.1751358619530506,0.17356568054188617,0.16666666666666666,0.28205128205128205,0,0,1,0,0,0.28527468134765055
saw,bgy,turchia,2,153.0,0.41830065359477125,0.3888888888888889,0.1774193548387097,0.24193548387096775,0,0,0,0,0,0.2845163661492663
man,vce,regno unito,4,4.0,0.75,0.5,0.25,0.25,0,0,1,0,0,0.2837160820160769
cai,bgy,egitto,2,7.0,0.2857142857142857,0.4,0.0,0.5,0,0,0,0,0,0.2826027824439686
ist,mxp,turchia,2,53.0,0.41509433962264153,0.24324324324324326,0.1724137931034483,0.2413793103448276,0,0,1,0,0,0.28114207557184495
bhx,vce,regno unito,4,10.0,0.3,0.0,0.2,0.4,0,0,0,0,0,0.27411748473311665
doh,mxp,qatar,2,6.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,1,0,0,0.27225851688916236
tia,psa,albania,8,20625.0,0.176,0.16965308886342328,0.24242424242424243,0.2196969696969697,0,0,1,0,0,0.2719232500679944
ist,fco,turchia,5,34.0,0.35294117647058826,0.5833333333333334,0.14285714285714285,0.21428571428571427,0,0,0,0,1,0.26888355628875144
lrm,mxp,repubblica dominicana,2,12.0,0.3333333333333333,0.2727272727272727,0.0,0.25,0,0,0,0,0,0.26822228894679256
dxb,mxp,emirati arabi uniti,2,64.0,0.390625,0.39344262295081966,0.3181818181818182,0.2727272727272727,0,0,0,0,0,0.26283044978963094
mct,mxp,oman,2,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.2617801692306602
gru,mxp,brasile,2,2.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0.25742363987446054
mba,mxp,kenya,2,4.0,0.75,0.6666666666666666,0.0,0.0,0,0,0,0,0,0.25456345213072656
man,nap,regno unito,6,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0.2502864061838075
jed,mxp,arabia saudita,2,124.0,0.08870967741935484,0.09411764705882353,0.23809523809523808,0.14285714285714285,0,0,0,0,0,0.24688796762267376
ema,bgy,regno unito,2,10.0,0.2,0.2222222222222222,0.2,0.4,0,0,1,0,0,0.2462692918674921
tia,vrn,albania,4,9658.0,0.19527852557465314,0.1988367083153813,0.18840579710144928,0.2318840579710145,0,0,1,0,0,0.2459639957970773
yul,fco,canada,5,1.0,1.0,1.0,0.0,1.0,0,0,1,0,0,0.24416568584014506
ssh,vrn,egitto,4,3.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0.24347148522982165
evn,vce,armenia,4,1.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0.24264101679700098
stn,bgy,regno unito,2,152.0,0.1513157894736842,0.15217391304347827,0.20512820512820512,0.19230769230769232,0,0,1,0,0,0.24255640030174852
tia,rmi,albania,8,2913.0,0.13559903879162374,0.13775322283609576,0.3333333333333333,0.16666666666666666,0,0,0,0,0,0.24226369705768644
tia,trn,albania,1,8399.0,0.1856173353970711,0.18695276852879517,0.14285714285714285,0.23214285714285715,0,0,1,0,0,0.24152066118259852
lgw,trn,regno unito,1,21.0,0.2857142857142857,0.2631578947368421,0.0,0.38461538461538464,0,0,1,0,0,0.24082366320570778
spx,mxp,egitto,2,14.0,0.35714285714285715,0.375,0.3333333333333333,0.0,0,0,0,0,0,0.23723789236503176
lgw,cta,regno unito,7,5.0,0.6,0.6,0.25,0.0,0,0,1,0,2,0.2358094881021228
ncl,fco,regno unito,5,2.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.235249813357057
ist,blq,turchia,8,17.0,0.29411764705882354,0.21428571428571427,0.21428571428571427,0.14285714285714285,0,0,0,0,0,0.23404310123187355
kiv,fco,moldavia,5,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0.23385639072458894
ruh,fco,arabia saudita,5,23.0,0.13043478260869565,0.047619047619047616,0.14285714285714285,0.42857142857142855,0,0,1,0,0,0.23222971717610696
ala,mxp,kazakistan,2,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.23109210489282206
tia,cia,albania,5,5951.0,0.17711309023693497,0.1818019943019943,0.12727272727272726,0.23636363636363636,0,0,1,0,0,0.23063006775298378
tia,vce,albania,4,1017.0,0.2015732546705998,0.2015732546705998,0.21052631578947367,0.15789473684210525,0,0,1,0,0,0.2278154258672281
tia,bri,albania,9,5673.0,0.15000881367882954,0.1544507761839261,0.14942528735632185,0.27586206896551724,0,0,0,0,0,0.22763303168088223
saw,vce,turchia,4,31.0,0.06451612903225806,0.2,0.3,0.3,0,0,1,0,0,0.22656667608110337
lgw,bgy,regno unito,2,15.0,0.26666666666666666,0.21428571428571427,0.2,0.2,0,0,1,0,0,0.22654256089257574
mex,fco,messico,5,5.0,0.2,1.0,0.0,0.0,0,0,0,0,1,0.22608442963532616
skp,vce,macedonia,4,7.0,0.42857142857142855,0.3333333333333333,0.4,0.2,0,0,1,0,0,0.22408890922555968
lgw,mxp,regno unito,2,120.0,0.15833333333333333,0.15789473684210525,0.28846153846153844,0.17307692307692307,0,0,0,0,0,0.2235293637384874
stn,trs,regno unito,4,7.0,0.2857142857142857,0.5,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0.22256860995271535
tia,peg,albania,5,3271.0,0.2118618159584225,0.21265267773253993,0.13043478260869565,0.21739130434782608,0,0,0,0,0,0.2214645594533848
tbs,bgy,georgia,2,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.2197213495230387
