OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,TOT,MOTIVO_ALLARME,note_operatore,flag_rischio
voli con allarmi,fco,ist,2024-01-30 09:15:00,roma,istanbul,turchia,5,1,manuale,,
viaggiatori con allarmi,cia,stn,2024-02-03 13:15:00,roma,londra,regno unito,5,5,manuale,,
viaggiatori entrati,fco,lhr,2024-01-15 08:45:00,roma,londra,regno unito,5,110,tsc,,
voli con allarmi,mxp,lhr,2024-02-02 08:40:00,milano,londra,regno unito,2,1,sdi,,
viaggiatori con allarmi,psa,brs,2024-02-16 12:50:00,pisa,bristol,regno unito,8,2,interpol,,
voli con allarmi,mxp,lhr,2024-01-06 09:20:00,milano,londra,regno unito,2,1,sdi,,
viaggiatori investigati,vce,skp,2024-01-27 06:40:00,venezia,skopie,macedonia,4,165,manuale,,
voli investigati,fco,doh,2024-02-15 09:15:00,roma,doha,qatar,5,1,manuale,,
voli investigati,fco,rmo,2024-02-14 17:20:00,roma,chisinau,moldavia,5,1,,,
voli disponibili,mxp,ssh,2024-02-25 13:10:00,milano,sharm el sheikh,egitto,2,1,sdi,,
voli solo visualizzati,fco,cai,2024-01-13 10:00:00,roma,cairo,egitto,5,1,,,
voli disponibili,vce,stn,2024-01-05 18:15:00,venezia,londra,regno unito,4,1,sdi,,
viaggiatori con allarmi,mxp,jed,2024-02-11 19:30:00,milano,jeddah,arabia saudita,2,32,tsc,,
voli solo visualizzati,bgy,stn,2024-02-23 07:15:00,bergamo,londra,regno unito,2,1,nsis,,
voli solo visualizzati,fco,brs,2024-02-09 12:50:00,roma,bristol,regno unito,5,1,manuale,,
esito negativo,fco,sin,2024-01-02 02:05:00,roma,singapore,singapore,5,1,,,
voli con allarmi,blq,tun,2024-02-12 08:00:00,bologna,tunis,tunisia,8,1,nsis,,
voli investigati,bgy,tia,2024-01-15 17:10:00,bergamo,tirana,albania,2,1,manuale,,
voli con allarmi,mxp,hkg,2024-01-13 00:50:00,milano,hong kong,hong kong,2,1,manuale,,
voli disponibili,blq,ist,2024-01-28 00:00:00,bologna,istanbul,turchia,8,1,nsis,,
voli investigati,fco,tun,2024-01-24 11:25:00,roma,tunis,tunisia,5,1,sdi,,
viaggiatori investigati,blq,cmn,2024-01-14 07:55:00,bologna,casablanca,marocco,8,158,,,
voli investigati,mxp,tun,2024-02-04 07:45:00,milano,tunis,tunisia,2,2,nsis,,
voli solo visualizzati,vrn,tia,2024-01-29 20:30:00,verona,tirana,albania,4,,,,
esito negativo,cia,man,2024-02-10 15:15:00,roma,manchester,regno unito,5,2,tsc,,
voli con allarmi,mxp,tpe,2024-02-19 23:05:00,milano,taipei,taiwan,2,1,manuale,,
allarmi generati,fco,tpe,2024-01-11 23:25:00,roma,taipei,taiwan,5,8,sdi,,
esito negativo,blq,beg,2024-02-25 17:30:00,bologna,belgrado,serbia,8,1,interpol,,
viaggiatori investigati,nap,ist,2024-02-08 17:55:00,napoli,istanbul,turchia,6,120,interpol,,
allarmi generati,mxp,mct,2024-01-19 17:25:00,milano,muscat,oman,2,44,,doppio controllo,
voli investigati,bgy,tia,2024-02-18 15:15:00,bergamo,tirana,albania,2,1,,,
voli solo visualizzati,fco,alg,2024-02-08 10:30:00,roma,algeri,algeria,5,2,,,
voli disponibili,fco,tlv,2024-02-02 06:10:00,roma,tel aviv yafo,israele,5,1,interpol,,
allarmi chiusi,goa,tia,2024-02-07 12:25:00,genova,tirana,albania,1,34,nsis,,
voli investigati,blq,dxb,2024-01-19 08:55:00,bologna,dubai,emirati arabi uniti,8,1,tsc,alert manuale,
viaggiatori con allarmi,fco,ist,2024-01-08 21:10:00,roma,istanbul,turchia,5,18,tsc,,
voli con allarmi,trn,stn,2024-01-05 00:00:00,torino,londra,regno unito,1,,manuale,,
allarmi chiusi,cia,tia,2024-01-12 08:10:00,roma,tirana,albania,5,10,sdi,,
esito negativo,cia,rak,2024-01-01 05:45:00,roma,marrakech,marocco,5,1,manuale,,
voli investigati,nap,ist,2024-02-01 08:00:00,napoli,istanbul,turchia,6,1,manuale,,
voli investigati,mxp,tlv,2024-02-14 15:45:00,milano,tel aviv yafo,israele,2,1,sdi,,
voli disponibili,bgy,cai,2024-01-22 07:50:00,bergamo,cairo,egitto,2,1,,,
esito negativo,fco,saw,2024-02-14 15:35:00,roma,istanbul,turchia,5,5,sdi,,
allarmi rilevanti,cia,rak,2024-02-13 06:15:00,roma,marrakech,marocco,5,3,manuale,,
voli solo visualizzati,blq,saw,2024-01-22 11:30:00,bologna,istanbul,turchia,8,1,sdi,,
esito negativo,fco,lgw,2024-01-12 16:40:00,roma,londra,regno unito,5,2,sdi,,
allarmi generati,fco,saw,2024-02-16 10:40:00,roma,istanbul,turchia,5,4,sdi,,
allarmi rilevanti,cta,dxb,2024-02-04 07:35:00,catania,dubai,emirati arabi uniti,7,1,sdi,,
voli disponibili,cta,tia,2024-02-11 08:20:00,catania,tirana,albania,7,1,,,
voli solo visualizzati,fco,icn,2024-01-03 13:20:00,roma,seoul,corea del sud,5,1,sdi,,
voli solo visualizzati,pmo,tun,2024-01-01 10:30:00,palermo,tunis,tunisia,7,1,tsc,,
viaggiatori con allarmi,mxp,lhr,2024-02-20 11:40:00,milano,londra,regno unito,2,2,,,
voli investigati,lin,lcy,2024-01-08 08:20:00,milano,londra,regno unito,2,,manuale,,
voli investigati,vce,tia,2024-01-25 21:20:00,venezia,tirana,albania,4,1,,,
voli solo visualizzati,vce,ist,2024-01-25 08:10:00,venezia,istanbul,turchia,4,1,sdi,,
voli con allarmi,fco,dxb,2024-01-18 08:55:00,roma,dubai,emirati arabi uniti,5,1,tsc,,
viaggiatori con allarmi,blq,cmn,2024-02-15 19:10:00,bologna,casablanca,marocco,8,41,sdi,,
esito negativo,fco,saw,2024-01-27 12:20:00,roma,istanbul,turchia,5,6,sdi,,
voli disponibili,bgy,cai,2024-01-05 07:55:00,bergamo,cairo,egitto,2,1,interpol,,
allarmi generati,bgy,tia,2024-02-24 22:05:00,bergamo,tirana,albania,2,35,interpol,,
viaggiatori investigati,fco,ika,2024-02-01 00:00:00,roma,tehran,iran,5,138,manuale,,
voli con allarmi,mxp,auh,2024-02-22 03:10:00,milano,abu dhabi,emirati arabi uniti,2,1,manuale,,
allarmi generati,fco,lhr,2024-02-08 12:40:00,roma,londra,regno unito,5,6,manuale,,
allarmi chiusi,vce,tia,2024-01-07 12:30:00,venezia,tirana,albania,4,34,tsc,,
viaggiatori investigati,cia,stn,2024-01-13 13:15:00,roma,londra,regno unito,5,150,,,
voli solo visualizzati,fco,cai,2024-02-24 04:30:00,roma,cairo,egitto,5,1,tsc,,
viaggiatori entrati,mxp,tpe,2024-01-09 23:05:00,milano,taipei,taiwan,2,279,,,
voli solo visualizzati,cia,stn,2024-02-25 00:00:00,roma,londra,regno unito,5,1,,,
viaggiatori entrati,mxp,spx,2024-01-03 19:50:00,milano,giza,egitto,2,197,,,
voli disponibili,fco,mle,2024-02-05 13:25:00,roma,male,maldive,5,1,manuale,,
voli investigati,blq,lhr,2024-01-06 13:55:00,bologna,londra,regno unito,8,1,tsc,,
voli solo visualizzati,mxp,ist,2024-01-29 08:40:00,milano,istanbul,turchia,2,1,sdi,,
viaggiatori entrati,cia,tia,2024-01-04 18:55:00,roma,tirana,albania,5,187,,,alto
voli investigati,mxp,spx,2024-02-05 12:05:00,milano,giza,egitto,2,1,nsis,,
voli solo visualizzati,blq,lhr,2024-02-01 14:35:00,bologna,londra,regno unito,8,1,interpol,,
viaggiatori investigati,fco,auh,2024-01-22 19:30:00,roma,abu dhabi,emirati arabi uniti,5,95,sdi,,
viaggiatori con allarmi,nap,dxb,2024-01-21 07:30:00,napoli,dubai,emirati arabi uniti,6,10,manuale,,
voli solo visualizzati,cta,ist,2024-02-07 07:55:00,catania,istanbul,turchia,7,1,interpol,,
viaggiatori investigati,fco,gru,2024-01-29 20:40:00,roma,san paolo,brasile,5,247,nsis,,
allarmi chiusi,bgy,fez,2024-01-19 20:55:00,bergamo,fes,marocco,2,25,sdi,,
voli con allarmi,nap,dxb,2024-02-19 07:30:00,napoli,dubai,emirati arabi uniti,6,1,manuale,,
viaggiatori investigati,fco,cmn,2024-02-04 13:00:00,roma,casablanca,marocco,5,109,interpol,,
viaggiatori entrati,tsf,tia,2024-02-24 15:25:00,treviso,tirana,albania,4,170,tsc,,
voli con allarmi,mxp,ist,2024-01-30 08:40:00,milano,istanbul,turchia,2,1,tsc,,
viaggiatori investigati,bgy,stn,2024-01-19 19:05:00,bergamo,londra,regno unito,2,161,tsc,,
allarmi generati,nap,lgw,2024-02-01 00:00:00,napoli,londra,regno unito,6,8,manuale,,
viaggiatori entrati,tsf,tia,2024-01-17 16:05:00,treviso,tirana,albania,4,178,sdi,,
viaggiatori investigati,mxp,stn,2024-01-28 11:40:00,milano,londra,regno unito,2,177,nsis,,
viaggiatori investigati,trn,lgw,2024-02-12 08:10:00,torino,londra,regno unito,1,143,interpol,,
voli con allarmi,mxp,cai,2024-02-03 13:00:00,milano,cairo,egitto,2,1,tsc,,
voli disponibili,fco,doh,2024-01-15 02:30:00,roma,doha,qatar,5,1,tsc,passeggero noto,
allarmi generati,bgy,cai,2024-02-12 07:50:00,bergamo,il cairo,egitto,2,37,,,
voli solo visualizzati,bgy,man,2024-02-25 08:45:00,bergamo,manchester,regno unito,2,1,nsis,,
viaggiatori entrati,bgy,cai,2024-01-04 00:00:00,bergamo,cairo,egitto,2,165,interpol,,
voli con allarmi,fco,lgw,2024-01-01 00:00:00,roma,londra,regno unito,5,1,,,
viaggiatori investigati,fco,hgh,2024-01-10 00:55:00,roma,hangzhou,cina,5,238,sdi,,
voli investigati,lin,lhr,2024-01-11 06:45:00,milano,londra,regno unito,2,1,,,
voli con allarmi,bgy,cmn,2024-01-02 07:00:00,bergamo,casablanca,marocco,2,1,sdi,,
viaggiatori investigati,mxp,cai,2024-02-01 00:00:00,milano,cairo,egitto,2,101,tsc,,
esito negativo,vce,ist,2024-02-21 08:10:00,venezia,istanbul,turchia,4,8,manuale,,
allarmi generati,bgy,tia,2024-01-09 00:00:00,bergamo,tirana,albania,2,25,tsc,,
viaggiatori entrati,trn,lgw,2024-01-08 00:00:00,torino,londra,regno unito,1,122,,,
esito negativo,psa,tia,2024-02-22 21:50:00,pisa,tirana,albania,8,19,sdi,,
viaggiatori con allarmi,fco,wnz,2024-01-25 11:00:00,roma,wenzhou,cina,5,70,nsis,,
allarmi generati,fco,doh,2024-01-06 09:15:00,roma,doha,qatar,5,13,,,
voli con allarmi,mxp,tlv,2024-01-22 15:45:00,milano,tel aviv yafo,israele,2,1,sdi,,
viaggiatori entrati,fco,amm,2024-01-24 12:00:00,roma,amman,giordania,5,37,tsc,,
allarmi generati,fco,icn,2024-02-06 14:05:00,roma,seoul,corea del sud,5,2,tsc,,
allarmi generati,fco,gru,2024-01-06 18:00:00,roma,san paolo,brasile,5,1,tsc,,
allarmi generati,fco,doh,2024-02-25 02:30:00,roma,doha,qatar,5,14,interpol,,
esito negativo,blq,tia,2024-01-23 11:05:00,bologna,tirana,albania,8,12,tsc,,
voli solo visualizzati,blq,ist,2024-02-06 09:25:00,bologna,istanbul,turchia,8,1,manuale,,
viaggiatori investigati,blq,ist,2024-02-17 09:25:00,bologna,istanbul,turchia,8,156,tsc,,
voli investigati,lin,lcy,2024-01-13 08:30:00,milano,londra,regno unito,2,1,sdi,,
viaggiatori investigati,vrn,kiv,2024-01-07 10:00:00,verona,chisinau,moldavia,4,,nsis,,
voli investigati,bgy,saw,2024-01-23 10:35:00,bergamo,istanbul,turchia,2,1,manuale,,
voli disponibili,fco,amm,2024-01-02 12:00:00,roma,amman,giordania,5,1,nsis,,
voli disponibili,mxp,cai,2024-01-05 09:35:00,milano,cairo,egitto,2,1,tsc,,
viaggiatori entrati,mxp,wnz,2024-02-24 12:40:00,milano,wenzhou,cina,2,,interpol,,
voli con allarmi,mxp,ssh,2024-01-02 21:35:00,milano,sharm el sheikh,egitto,2,1,nsis,,
viaggiatori investigati,peg,tia,2024-01-03 12:30:00,perugia,tirana,albania,5,134,nsis,,
voli con allarmi,vce,bhx,2024-01-05 13:40:00,venezia,birmingham,regno unito,4,1,manuale,,
esito negativo,fco,doh,2024-01-31 15:35:00,roma,doha,qatar,5,15,sdi,,
allarmi generati,mxp,ssh,2024-02-16 13:40:00,milano,sharm el sheikh,egitto,2,13,sdi,,
voli disponibili,fco,lgw,2024-01-24 21:15:00,roma,londra,regno unito,5,1,manuale,,
allarmi chiusi,bgy,stn,2024-02-11 12:00:00,bergamo,londra,regno unito,2,1,,,
allarmi chiusi,lin,lhr,2024-02-18 11:45:00,milano,londra,regno unito,2,2,interpol,,
voli con allarmi,fco,ewr,2024-01-02 17:40:00,roma,newark,stati uniti,5,1,sdi,,
altro,mxp,cgo,2024-02-26 14:50:00,milano,zhengzhou,cina,2,1,tsc,,
viaggiatori entrati,cta,tia,2024-02-26 20:30:00,catania,tirana,albania,7,66,sdi,,
voli solo visualizzati,bgy,edi,2024-01-14 16:15:00,bergamo,edinburgh,regno unito,2,1,manuale,,
voli investigati,fco,tia,2024-02-04 06:10:00,roma,tirana,albania,5,1,,,
viaggiatori investigati,fco,add,2024-01-03 22:40:00,roma,addis ababa,etiopia,5,0,nsis,,
viaggiatori investigati,fco,dxb,2024-01-19 08:55:00,roma,dubai,emirati arabi uniti,5,328,tsc,,
voli disponibili,fco,ist,2024-01-01 00:00:00,roma,istanbul,turchia,5,,manuale,,
voli solo visualizzati,fco,eze,2024-02-11 13:45:00,roma,buenos aires,argentina,5,1,,,
viaggiatori con allarmi,bri,tia,2024-01-23 16:40:00,bari,tirana,albania,9,9,sdi,,
voli disponibili,bgy,tia,2024-02-27 22:05:00,bergamo,tirana,albania,2,1,interpol,,
allarmi generati,cta,ssh,2024-01-01 11:40:00,catania,sharm el sheikh,egitto,7,11,manuale,,
viaggiatori entrati,fco,ist,2024-01-21 13:05:00,roma,istanbul,turchia,5,134,nsis,,
allarmi rilevanti,blq,tia,2024-02-01 00:00:00,bologna,tirana,albania,8,1,manuale,,medio
voli con allarmi,fco,tun,2024-02-14 11:25:00,roma,tunisi,tunisia,5,1,tsc,,
voli con allarmi,bgy,tia,2024-01-04 21:55:00,bergamo,tirana,albania,2,1,manuale,,
viaggiatori entrati,vce,lhr,2024-02-13 13:40:00,venezia,londra,regno unito,4,163,interpol,,
viaggiatori investigati,fco,auh,2024-02-12 17:45:00,roma,abu dhabi,emirati arabi uniti,5,172,,,
esito negativo,fco,szx,2024-02-08 00:00:00,roma,shenzhen,cina,5,5,manuale,,
allarmi generati,bgy,stn,2024-02-29 06:00:00,bergamo,londra,regno unito,2,4,tsc,,
viaggiatori investigati,cia,stn,2024-01-14 00:00:00,roma,londra,regno unito,5,167,nsis,,
allarmi rilevanti,psa,rak,2024-02-04 06:05:00,pisa,marrakech,marocco,8,2,nsis,,
allarmi generati,goa,stn,2024-02-02 18:05:00,genova,londra,regno unito,1,5,,,
allarmi generati,trn,tia,2024-01-02 06:55:00,torino,tirana,albania,1,34,nsis,,
voli con allarmi,mxp,lhr,2024-01-13 07:35:00,milano,londra,regno unito,2,1,manuale,,
viaggiatori con allarmi,fco,tlv,2024-02-05 06:10:00,roma,tel aviv yafo,israele,5,1,tsc,,
voli con allarmi,fco,pvg,2024-01-01 00:00:00,roma,shanghai,cina,5,1,sdi,,
viaggiatori investigati,fco,eze,2024-01-28 22:40:00,roma,buenos aires,argentina,5,213,interpol,,
voli disponibili,fco,alg,2024-01-01 05:25:00,roma,algeri,algeria,5,1,sdi,,
voli solo visualizzati,bgy,stn,2024-01-17 11:55:00,bergamo,londra,regno unito,2,1,manuale,,
allarmi generati,fco,pvg,2024-01-30 12:35:00,roma,shanghai,cina,5,12,interpol,,
viaggiatori investigati,cia,stn,2024-02-16 00:00:00,roma,londra,regno unito,5,182,tsc,,
viaggiatori entrati,trn,stn,2024-02-25 18:50:00,torino,londra,regno unito,1,169,,,
viaggiatori entrati,mxp,auh,2024-02-01 00:00:00,milano,abu dhabi,emirati arabi uniti,2,284,tsc,,
viaggiatori con allarmi,fco,tpe,2024-02-15 23:25:00,roma,taipei,taiwan,5,5,interpol,,
viaggiatori con allarmi,cia,edi,2024-01-26 06:15:00,roma,edinburgh,regno unito,5,4,,,
voli investigati,bgy,tia,2024-02-07 20:35:00,bergamo,tirana,albania,2,1,sdi,,
allarmi generati,bgy,stn,2024-02-18 00:00:00,bergamo,londra,regno unito,2,5,,,
voli disponibili,mxp,mct,2024-01-18 14:15:00,milano,muscat,oman,2,1,tsc,,
voli investigati,bri,stn,2024-01-18 19:55:00,bari,londra,regno unito,9,1,sdi,,
voli con allarmi,nap,tun,2024-01-05 09:45:00,napoli,tunis,tunisia,6,1,tsc,,
allarmi chiusi,mxp,spx,2024-02-02 12:05:00,milano,giza,egitto,2,40,nsis,,
allarmi chiusi,mxp,mct,2024-02-01 00:00:00,milano,muscat,oman,2,1,,,
voli con allarmi,vrn,tia,2024-01-03 17:00:00,verona,tirana,albania,4,1,nsis,,
voli disponibili,trn,stn,2024-02-25 18:50:00,torino,londra,regno unito,1,1,,,
viaggiatori entrati,bgy,saw,2024-02-10 17:25:00,bergamo,istanbul,turchia,2,49,nsis,,
voli disponibili,bgy,rak,2024-01-27 15:35:00,bergamo,marrakech,marocco,2,1,nsis,,
voli solo visualizzati,fco,alg,2024-01-07 05:25:00,roma,algeri,algeria,5,1,nsis,,
voli investigati,cta,tia,2024-02-15 11:50:00,catania,tirana,albania,7,,sdi,,
allarmi generati,bgy,stn,2024-01-13 12:00:00,bergamo,londra,regno unito,2,3,nsis,,
voli investigati,blq,ist,2024-01-11 09:25:00,bologna,istanbul,turchia,8,1,,,
voli con allarmi,bgy,stn,2024-01-12 07:15:00,bergamo,londra,regno unito,2,1,interpol,,
allarmi chiusi,mxp,cmn,2024-01-02 13:00:00,milano,casablanca,marocco,2,19,tsc,,
voli investigati,fco,beg,2024-01-24 06:10:00,roma,belgrado,serbia,5,1,nsis,,
voli investigati,aoi,tia,2024-02-28 11:20:00,ancona,tirana,albania,8,1,tsc,,
esito negativo,fco,pek,2024-01-09 13:25:00,roma,pechino,cina,5,25,tsc,,
voli disponibili,vrn,tia,2024-02-26 21:25:00,verona,tirana,albania,4,1,tsc,,
voli solo visualizzati,cia,tng,2024-02-17 09:30:00,roma,tangier,marocco,5,1,tsc,,
viaggiatori entrati,peg,tia,2024-02-08 15:20:00,perugia,tirana,albania,5,224,manuale,,
allarmi generati,mxp,lrm,2024-02-03 19:50:00,milano,la romana,repubblica dominicana,2,26,interpol,,
allarmi generati,blq,tia,2024-01-22 11:15:00,bologna,tirana,albania,8,37,interpol,,
viaggiatori con allarmi,bgy,brs,2024-02-12 18:10:00,bergamo,bristol,regno unito,2,3,sdi,,
voli solo visualizzati,fco,cai,2024-01-03 04:30:00,roma,cairo,egitto,5,1,,,
voli disponibili,mxp,rak,2024-01-12 20:40:00,milano,marrakech,marocco,2,1,,,
voli con allarmi,vce,lhr,2024-01-24 13:40:00,venezia,londra,regno unito,4,1,nsis,,
voli solo visualizzati,fco,icn,2024-01-21 14:05:00,roma,seoul,corea del sud,5,1,,,
allarmi generati,fco,auh,2024-02-10 14:40:00,roma,abu dhabi,emirati arabi uniti,5,15,manuale,,
viaggiatori entrati,lin,lcy,2024-01-21 13:45:00,milano,londra,regno unito,2,72,nsis,,
allarmi rilevanti,blq,dxb,2024-01-19 08:55:00,bologna,dubai,emirati arabi uniti,8,1,interpol,,
altro,trn,tia,2024-01-09 06:55:00,torino,tirana,albania,1,1,nsis,,
allarmi generati,fco,lhr,2024-01-12 11:55:00,roma,londra,regno unito,5,3,interpol,,
voli con allarmi,fco,saw,2024-02-16 10:40:00,roma,istanbul,turchia,5,1,nsis,,
voli disponibili,trn,lgw,2024-01-04 08:55:00,torino,londra,regno unito,1,1,sdi,,
viaggiatori entrati,fco,lhr,2024-01-18 07:00:00,roma,londra,regno unito,5,148,,,
voli disponibili,vce,ist,2024-01-27 13:05:00,venezia,istanbul,turchia,4,1,nsis,,
allarmi chiusi,fco,del,2024-01-17 03:45:00,roma,nuova delhi,india,5,16,,,
voli con allarmi,fco,cai,2024-01-14 10:00:00,roma,cairo,egitto,5,1,manuale,,
voli disponibili,fco,ruh,2024-01-17 09:30:00,roma,riyadh,arabia saudita,5,1,sdi,,
allarmi chiusi,aoi,stn,2024-01-26 18:25:00,ancona,londra,regno unito,8,13,tsc,alert manuale,
esito negativo,nap,lgw,2024-01-19 14:40:00,napoli,londra,regno unito,6,4,sdi,,
voli solo visualizzati,mxp,ist,2024-01-30 12:35:00,milano,istanbul,turchia,2,1,nsis,,
allarmi generati,vce,lhr,2024-01-17 17:00:00,venezia,londra,regno unito,4,4,interpol,,
viaggiatori investigati,mxp,hrg,2024-01-02 13:05:00,milano,hurghada,egitto,2,,tsc,,
voli disponibili,blq,cmn,2024-01-12 12:50:00,bologna,casablanca,marocco,8,1,sdi,passeggero noto,
voli disponibili,pmo,ist,2024-01-05 07:55:00,palermo,istanbul,turchia,7,1,sdi,,
voli investigati,mxp,lgw,2024-01-14 09:35:00,milano,londra,regno unito,2,1,,,
viaggiatori entrati,fco,rmo,2024-02-15 06:00:00,roma,chisinau,moldavia,5,93,sdi,,
viaggiatori entrati,tsf,tia,2024-01-02 20:20:00,treviso,tirana,albania,4,177,interpol,,
voli investigati,cia,man,2024-02-02 06:45:00,roma,manchester,regno unito,5,1,tsc,,
voli solo visualizzati,mxp,jed,2024-02-01 00:00:00,milano,jeddah,arabia saudita,2,1,,,
esito negativo,pmf,rmo,2024-01-31 13:40:00,parma,chisinau,moldavia,8,,,,
viaggiatori entrati,fco,icn,2024-02-14 13:20:00,roma,seoul,corea del sud,5,278,nsis,,
allarmi generati,lin,lhr,2024-01-12 00:00:00,milano,londra,regno unito,2,3,interpol,,
voli investigati,fco,tia,2023-01-01 00:00:00,roma,tirana,albania,5,1,tsc,,
voli disponibili,psr,stn,2024-01-02 16:30:00,pescara,londra,regno unito,9,1,,,
voli disponibili,tsf,rak,2024-01-18 12:00:00,treviso,marrakech,marocco,4,1,,,
allarmi chiusi,cag,stn,2024-02-04 20:15:00,cagliari,londra,regno unito,5,10,manuale,,
viaggiatori con allarmi,fco,saw,2024-02-13 11:00:00,roma,istanbul,turchia,5,2,manuale,,
voli investigati,bgy,cmn,2024-01-01 13:50:00,bergamo,casablanca,marocco,2,1,manuale,,
allarmi generati,lin,lhr,2024-02-01 15:00:00,milano,londra,regno unito,2,4,interpol,,
voli investigati,fco,eze,2024-02-25 13:45:00,roma,buenos aires,argentina,5,,nsis,,
allarmi generati,bgy,saw,2024-02-18 13:15:00,bergamo,istanbul,turchia,2,8,manuale,,
allarmi generati,mxp,ssh,2024-01-16 19:20:00,milano,sharm el sheikh,egitto,2,21,sdi,,
esito negativo,blq,tia,2024-01-30 18:10:00,bologna,tirana,albania,8,1,tsc,,
viaggiatori con allarmi,mxp,doh,2024-02-16 08:55:00,milano,doha,qatar,2,22,,,
viaggiatori con allarmi,mxp,cai,2024-02-05 09:35:00,milano,cairo,egitto,2,16,interpol,,
viaggiatori entrati,fco,jfk,2024-01-26 17:50:00,roma,new york,stati uniti,5,214,nsis,,
viaggiatori con allarmi,bgy,ema,2024-01-28 10:20:00,bergamo,derby,regno unito,2,22,interpol,,
voli solo visualizzati,mxp,rak,2024-02-26 17:05:00,milano,marrakech,marocco,2,1,manuale,,
viaggiatori entrati,mxp,mle,2024-02-13 11:15:00,milano,male,maldive,2,363,tsc,,
voli investigati,nap,ist,2024-01-25 17:55:00,napoli,istanbul,turchia,6,1,,,
viaggiatori entrati,mxp,mct,2024-02-15 14:15:00,milano,muscat,oman,2,231,interpol,,
allarmi generati,vce,rmo,2024-02-27 13:20:00,venezia,chisinau,moldavia,4,20,sdi,,
viaggiatori investigati,fco,icn,2024-01-11 14:05:00,roma,seoul,corea del sud,5,299,tsc,,
allarmi generati,blq,ist,2024-01-08 09:25:00,bologna,istanbul,turchia,8,5,,,
viaggiatori investigati,fco,doh,2024-02-12 15:35:00,roma,doha,qatar,5,181,nsis,,alto
viaggiatori entrati,mxp,lhr,2024-01-25 17:00:00,milano,londra,regno unito,2,159,sdi,,
allarmi chiusi,mxp,cai,2024-01-17 09:35:00,milano,cairo,egitto,2,33,tsc,,
allarmi generati,fco,ist,2024-01-20 13:05:00,roma,istanbul,turchia,5,7,nsis,,
voli disponibili,bgy,brs,2024-02-26 18:10:00,bergamo,bristol,regno unito,2,1,tsc,,
viaggiatori investigati,blq,saw,2024-01-14 11:30:00,bologna,istanbul,turchia,8,161,manuale,,
voli disponibili,fco,lhr,2024-01-11 07:00:00,roma,londra,regno unito,5,1,interpol,,
voli investigati,mxp,tia,2024-02-07 06:20:00,milano,tirana,albania,2,1,sdi,,
allarmi generati,mxp,gyd,2024-01-22 07:30:00,milano,baku,azerbaigian,2,3,sdi,,
voli investigati,cia,stn,2024-02-27 14:30:00,roma,londra,regno unito,5,1,,,
voli investigati,fco,icn,2024-01-03 13:20:00,roma,seoul,corea del sud,5,1,manuale,,
voli con allarmi,lin,lhr,2024-01-16 06:45:00,milano,londra,regno unito,2,1,nsis,doppio controllo,
viaggiatori investigati,mxp,sid,2024-02-07 14:10:00,milano,sal,capo verde,2,6,nsis,,
viaggiatori con allarmi,vrn,znz,2024-02-13 09:30:00,verona,zanzibar,tanzania,4,,manuale,,
voli solo visualizzati,mxp,cai,2024-01-23 13:30:00,milano,il cairo,egitto,2,1,tsc,,
voli investigati,bgy,lgw,2024-02-04 06:50:00,bergamo,londra,regno unito,2,1,interpol,,
voli disponibili,mxp,lgw,2024-02-04 21:10:00,milano,londra,regno unito,2,1,sdi,,
viaggiatori investigati,psa,tia,2024-01-01 15:15:00,pisa,tirana,albania,8,171,sdi,,
voli disponibili,mxp,tun,2024-01-18 15:00:00,milano,tunis,tunisia,2,1,tsc,,
voli disponibili,bgy,edi,2024-02-22 14:30:00,bergamo,edinburgh,regno unito,2,1,nsis,,
viaggiatori entrati,fco,add,2024-01-31 00:05:00,roma,addis ababa,etiopia,5,289,,,
viaggiatori con allarmi,mxp,lrm,2024-02-24 19:50:00,milano,la romana,repubblica dominicana,2,21,nsis,,
allarmi chiusi,vce,man,2024-01-27 17:05:00,venezia,manchester,regno unito,4,7,tsc,,
esito negativo,fco,eze,2023-12-31 22:40:00,roma,buenos aires,argentina,5,1,tsc,,
allarmi chiusi,mxp,rak,2024-02-13 10:05:00,milano,marrakech,marocco,2,15,tsc,verifica richiesta,
allarmi chiusi,trn,stn,2024-02-01 00:00:00,torino,londra,regno unito,1,3,nsis,,
allarmi generati,bds,tia,2024-01-01 21:00:00,brindisi,tirana,albania,9,11,nsis,,
voli solo visualizzati,bgy,tia,2024-02-18 12:10:00,bergamo,tirana,albania,2,2,,,
viaggiatori con allarmi,mxp,szx,2024-01-31 01:55:00,milano,shenzhen,cina,2,3,nsis,,
viaggiatori entrati,fco,ruh,2024-01-01 00:00:00,roma,riyadh,arabia saudita,5,129,,,
allarmi generati,blq,lhr,2024-01-07 15:20:00,bologna,londra,regno unito,8,7,,verifica richiesta,
allarmi generati,nap,stn,2024-01-15 17:25:00,napoli,londra,regno unito,6,6,sdi,,
allarmi generati,blq,ltn,2024-02-09 17:05:00,bologna,londra,regno unito,8,5,sdi,,
viaggiatori entrati,fco,lhr,2024-01-16 15:50:00,roma,londra,regno unito,5,120,sdi,,
viaggiatori entrati,blq,lgw,2024-02-16 17:35:00,bologna,londra,regno unito,8,,,,
voli investigati,bgy,tia,2024-02-01 09:00:00,bergamo,tirana,albania,2,1,interpol,,
