OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,TOT,MOTIVO_ALLARME,note_operatore,flag_rischio
viaggiatori con allarmi,mxp,alg,2024-02-09 10:15:00,milano,algeri,algeria,2,8,,,
allarmi chiusi,blq,tia,2024-02-15 18:10:00,bologna,tirana,albania,8,26,,,
voli con allarmi,fco,amm,2024-01-05 12:00:00,roma,amman,giordania,5,1,,,
esito negativo,blq,tia,2024-02-15 18:10:00,bologna,tirana,albania,8,1,sdi,,
viaggiatori con allarmi,mxp,pvg,2024-01-06 01:45:00,milano,shanghai,cina,2,9,,,
esito negativo,mxp,lgw,2024-02-23 09:10:00,milano,londra,regno unito,2,2,nsis,,
viaggiatori con allarmi,vce,lgw,2024-02-27 09:30:00,venezia,londra,regno unito,4,3,sdi,,
allarmi generati,bri,tia,2024-01-09 11:35:00,bari,tirana,albania,9,23,,,
voli investigati,goa,stn,2024-02-06 00:00:00,genova,londra,regno unito,1,1,nsis,,
voli disponibili,bgy,man,2024-02-19 14:00:00,bergamo,manchester,regno unito,2,1,tsc,,
voli investigati,aoi,tia,2024-01-02 11:15:00,ancona,tirana,albania,8,1,interpol,,
voli disponibili,vce,stn,2024-02-10 11:35:00,venezia,londra,regno unito,4,1,,,
voli solo visualizzati,bgy,rmo,2024-02-09 13:20:00,bergamo,chisinau,moldavia,2,1,manuale,,
voli con allarmi,mxp,wnz,2024-02-06 12:40:00,milano,wenzhou,cina,2,1,manuale,,
viaggiatori con allarmi,cia,stn,2024-01-10 06:15:00,roma,londra,regno unito,5,6,nsis,alert manuale,
voli disponibili,bgy,dxb,2024-02-13 18:00:00,bergamo,dubai,emirati arabi uniti,2,1,,,
voli con allarmi,fco,mle,2024-01-27 13:25:00,roma,male,maldive,5,1,manuale,,
allarmi generati,fco,ist,2024-11-01 00:00:00,roma,istanbul,turchia,5,10,sdi,,
allarmi generati,blq,tia,2024-01-07 16:20:00,bologna,tirana,albania,8,47,sdi,,
allarmi chiusi,trs,stn,2024-01-02 06:45:00,trieste,londra,regno unito,4,1,tsc,,
viaggiatori investigati,vce,lhr,2024-01-01 00:00:00,venezia,londra,regno unito,4,190,interpol,,
