occorrenze,areoporto_arrivo,areoporto_partenza,anno_partenza,mese_partenza,data_partenza,descr_aereoporto_arr,descr_aereoporto_part,citta_arr,citta_partenza,codice_paese_arr,codice_paese_part,paese_arr,paese_part,zona,tot,motivo_allarme,note_operatore,flag_rischio,paese_partenza,codice_paese_arr__1,col_3zona,paese_arr__1,tot_voli
voli con allarmi,fco,ist,2024,1,2024-01-30 09:15:00,fiumicino,havalimani,roma,istanbul,ita,tur,italia,turchia,5,1.0,manuale,,,turchia,ita,5,italia,1.0
viaggiatori con allarmi,cia,stn,2024,2,2024-02-03 13:15:00,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,5.0,manuale,,,regno unito,ita,5,italia,5.0
viaggiatori entrati nel sistema,fco,lhr,2024,1,2024-01-15 08:45:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,110.0,tsc,,,regno unito,ita,5,italia,110.0
voli con allarmi,mxp,lhr,2024,2,2024-02-02 08:40:00,malpensa,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,1.0,sdi,,,regno unito,ita,2,italia,1.0
viaggiatori con allarmi,psa,brs,2024,2,2024-02-16 12:50:00,galileo galilei,bristol,pisa,bristol,ita,gbr,italia,regno unito,8,2.0,interpol,,,regno unito,ita,8,italia,2.0
voli con allarmi,mxp,lhr,,1,2024-01-06 09:20:00,malpensa,,milano,londra,ita,gbr,italia,regno unito,2,1.0,sdi,,,regno unito,ita,2,italia,1.0
viaggiatori investigati,vce,skp,2024,1,2024-01-27 06:40:00,venezia marco polo,petrovec,venezia,skopie,ita,mkd,italia,macedonia,4,165.0,manuale,,,macedonia,ita,4,italia,165.0
voli investigati (sdi/nsis - interpol - tsc),fco,doh,2024,2,2024-02-15 09:15:00,fiumicino,hamad international,roma,doha,ita,qat,italia,qatar,5,1.0,manuale,,,qatar,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,rmo,2023,2,2024-02-14 17:20:00,fiumicino,chisinau international airport,roma,chisinau,ita,mda,italia,moldavia,5,1.0,,,,moldavia,ita,5,italia,1.0
voli disponibili in ingresso al sistema,mxp,ssh,2024,2,2024-02-25 13:10:00,malpensa,,milano,sharm el sheikh,ita,egy,italia,egitto,2,1.0,sdi,,,egitto,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",fco,cai,2024,1,2024-01-13 10:00:00,fiumicino,cairo international,roma,cairo,ita,eg,italia,egitto,5,1.0,,,,egitto,ita,5,italia,1.0
voli disponibili in ingresso al sistema,vce,stn,2024,1,2024-01-05 18:15:00,venezia marco polo,stansted,venezia,londra,ita,gbr,italia,regno unito,4,1.0,sdi,,,regno unito,ita,4,italia,1.0
viaggiatori con allarmi,mxp,jed,2024,2,2024-02-11 19:30:00,malpensa,king abdulaziz international,milano,jeddah,ita,sau,italia,arabia saudita,2,32.0,tsc,,,arabia saudita,ita,2,italia,32.0
"voli solo visualizzati, ma non investigati",bgy,stn,2024,2,2024-02-23 07:15:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,1.0,nsis,,,regno unito,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",fco,brs,2024,2,2024-02-09 12:50:00,fiumicino,bristol,roma,bristol,ita,gbr,italia,regno unito,5,1.0,manuale,,,regno unito,ita,5,italia,1.0
errata segnalazione sdi,fco,sin,2024,1,2024-01-02 02:05:00,fiumicino,changi,roma,singapore,ita,sgp,italia,singapore,5,1.0,,,,singapore,ita,5,italia,1.0
voli con allarmi,blq,tun,2023,2,2024-02-12 08:00:00,guglielmo marconi,carthage,bologna,tunis,ita,tun,italia,tunisia,8,1.0,nsis,,,tunisia,ita,8,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),bgy,tia,2024,1,2024-01-15 17:10:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,1.0,manuale,,,albania,ita,2,italia,1.0
voli con allarmi,mxp,hkg,2024,1,2024-01-13 00:50:00,malpensa,,milano,hong kong,ita,hkg,italia,hong kong,2,1.0,manuale,,,hong kong,ita,2,italia,1.0
voli disponibili in ingresso al sistema,blq,ist,2024,1,,guglielmo marconi,havalimani,bologna,istanbul,ita,tur,italia,turchia,8,1.0,nsis,,,turchia,ita,8,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,tun,2024,1,2024-01-24 11:25:00,fiumicino,carthage,roma,tunis,ita,tun,italia,tunisia,5,1.0,sdi,,,tunisia,ita,5,italia,1.0
viaggiatori investigati,blq,cmn,2024,1,2024-01-14 07:55:00,guglielmo marconi,mohamed v,bologna,casablanca,ita,mar,italia,marocco,8,158.0,,,,marocco,ita,8,italia,158.0
voli investigati (sdi/nsis - interpol - tsc),mxp,tun,2024,2,2024-02-04 07:45:00,malpensa,carthage,milano,tunis,ita,tun,italia,tunisia,2,2.0,nsis,,,tunisia,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",vrn,tia,2024,1,2024-01-29 20:30:00,verona villafranca,rinas mother teresa,verona,tirana,ita,alb,italia,albania,4,-500.0,,,,albania,ita,4,italia,1.0
nulla a procedere sdi,cia,man,2024,2,2024-02-10 15:15:00,ciampino,manchester,roma,manchester,ita,gbr,italia,regno unito,5,2.0,tsc,,,regno unito,ita,5,italia,2.0
voli con allarmi,mxp,tpe,2024,2,2024-02-19 23:05:00,malpensa,taiwan taoyuan international,milano,taipei,ita,twn,italia,taiwan,2,1.0,manuale,,,taiwan,ita,2,italia,1.0
allarmi generati da sdi/nsis,fco,tpe,2024,1,2024-01-11 23:25:00,fiumicino,taiwan taoyuan international,roma,taipei,ita,twn,italia,taiwan,5,8.0,sdi,,,taiwan,ita,5,italia,8.0
nulla a procedere sdi,blq,beg,2024,2,2024-02-25 17:30:00,guglielmo marconi,nikola tesla,bologna,belgrado,ita,srb,italia,serbia,8,1.0,interpol,,,serbia,ita,8,italia,1.0
viaggiatori investigati,nap,ist,2024,2,2024-02-08 17:55:00,napoli capodichino,havalimani,napoli,istanbul,ita,tur,italia,turchia,6,120.0,interpol,,,turchia,ita,6,italia,120.0
allarmi generati da sdi/nsis,mxp,mct,2024,1,2024-01-19 17:25:00,malpensa,seeb,milano,muscat,ita,omn,italia,oman,2,44.0,,doppio controllo,,oman,ita,2,italia,44.0
voli investigati (sdi/nsis - interpol - tsc),bgy,tia,2024,2,2024-02-18 15:15:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,1.0,,,,albania,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",fco,alg,2024,2,2024-02-08 10:30:00,fiumicino,houari boumediene,roma,algeri,ita,dza,italia,algeria,5,2.0,,,,algeria,ita,5,italia,2.0
voli disponibili in ingresso al sistema,fco,tlv,2024,2,2024-02-02 06:10:00,fiumicino,ben gurion international,roma,tel aviv yafo,ita,isr,italia,israele,5,1.0,interpol,,,israele,ita,5,italia,1.0
allarmi chiusi,goa,tia,2024,2,2024-02-07 12:25:00,cristoforo colombo,rinas mother teresa,genova,tirana,ita,alb,italia,albania,1,34.0,nsis,,,albania,ita,1,italia,34.0
voli investigati (sdi/nsis - interpol - tsc),blq,dxb,2024,1,2024-01-19 08:55:00,guglielmo marconi,dubai international,bologna,dubai,ita,are,italia,emirati arabi uniti,8,1.0,tsc,alert manuale,,emirati arabi uniti,ita,8,italia,1.0
viaggiatori con allarmi,fco,ist,2024,1,2024-01-08 21:10:00,fiumicino,havalimani,roma,istanbul,ita,tur,italia,turchia,5,18.0,tsc,,,turchia,ita,5,italia,18.0
voli con allarmi,trn,stn,2024,1,,sandro pertini,stansted,torino,londra,ita,gbr,italia,regno unito,1,,manuale,,,regno unito,ita,1,italia,
allarmi chiusi,cia,tia,2024,1,2024-01-12 08:10:00,ciampino,rinas mother teresa,roma,tirana,ita,alb,italia,albania,5,10.0,sdi,,,albania,ita,5,italia,10.0
errata segnalazione nsis,cia,rak,2024,1,2024-01-01 05:45:00,ciampino,menara,roma,marrakech,ita,mar,italia,marocco,5,1.0,manuale,,,marocco,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),nap,ist,2024,2,2024-02-01 08:00:00,napoli capodichino,havalimani,napoli,istanbul,ita,tur,italia,turchia,6,1.0,manuale,,,turchia,ita,6,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),mxp,tlv,2024,2,2024-02-14 15:45:00,malpensa,ben gurion international,milano,tel aviv yafo,ita,isr,italia,israele,2,1.0,sdi,,,israele,ita,2,italia,1.0
voli disponibili in ingresso al sistema,bgy,cai,2023,1,2024-01-22 07:50:00,orio al serio,cairo international,bergamo,cairo,ita,egy,italia,egitto,2,1.0,,,,egitto,ita,2,italia,1.0
nulla a procedere sdi,fco,saw,2024,2,2024-02-14 15:35:00,fiumicino,sabiha gokcen,roma,istanbul,ita,tur,italia,turchia,5,5.0,sdi,,,turchia,ita,5,italia,5.0
allarmi rilevanti,cia,rak,2024,2,2024-02-13 06:15:00,ciampino,menara,roma,marrakech,ita,mar,italia,marocco,5,3.0,manuale,,,marocco,ita,5,italia,3.0
"voli solo visualizzati, ma non investigati",blq,saw,2024,1,2024-01-22 11:30:00,guglielmo marconi,sabiha gokcen,bologna,istanbul,ita,tur,italia,turchia,8,1.0,sdi,,,turchia,ita,8,italia,1.0
nulla a procedere sdi,fco,lgw,2024,1,2024-01-12 16:40:00,fiumicino,london gatwick,roma,londra,ita,gbr,italia,regno unito,5,2.0,sdi,,,regno unito,ita,5,italia,2.0
allarmi generati da sdi/nsis,fco,saw,2024,2,2024-02-16 10:40:00,fiumicino,,roma,istanbul,ita,tr,italia,turchia,5,4.0,sdi,,,turchia,ita,5,italia,4.0
allarmi rilevanti,cta,dxb,2024,2,2024-02-04 07:35:00,fontanarossa,dubai international,catania,dubai,ita,are,italia,emirati arabi uniti,7,1.0,sdi,,,emirati arabi uniti,ita,7,italia,1.0
voli disponibili in ingresso al sistema,cta,tia,2024,2,2024-02-11 08:20:00,fontanarossa,rinas mother teresa,catania,tirana,ita,al,italia,albania,7,1.0,,,,albania,ita,7,italia,1.0
"voli solo visualizzati, ma non investigati",fco,icn,2024,1,2024-01-03 13:20:00,fiumicino,incheon international,roma,seoul,ita,kor,italia,corea del sud,5,1.0,sdi,,,corea del sud,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",pmo,tun,2024,1,2024-01-01 10:30:00,punta raisi,carthage,palermo,tunis,ita,tun,italia,tunisia,7,1.0,tsc,,,tunisia,ita,7,italia,1.0
viaggiatori con allarmi,mxp,lhr,2024,2,2024-02-20 11:40:00,malpensa,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,2.0,,,,regno unito,ita,2,italia,2.0
voli investigati (sdi/nsis - interpol - tsc),lin,lcy,2024,1,2024-01-08 08:20:00,linate,london city,milano,londra,ita,gbr,italia,regno unito,2,,manuale,,,regno unito,ita,2,italia,
voli investigati (sdi/nsis - interpol - tsc),vce,tia,2024,1,2024-01-25 21:20:00,venezia marco polo,rinas mother teresa,venezia,tirana,ita,alb,italia,albania,4,1.0,,,,albania,ita,4,italia,1.0
"voli solo visualizzati, ma non investigati",vce,ist,2024,1,2024-01-25 08:10:00,venezia marco polo,havalimani,venezia,istanbul,ita,tur,italia,turchia,4,1.0,sdi,,,turchia,ita,4,italia,1.0
voli con allarmi,fco,dxb,2024,1,2024-01-18 08:55:00,fiumicino,dubai international,roma,dubai,ita,are,italia,emirati arabi uniti,5,1.0,tsc,,,emirati arabi uniti,ita,5,italia,1.0
viaggiatori con allarmi,blq,cmn,2024,2,2024-02-15 19:10:00,guglielmo marconi,mohamed v,bologna,casablanca,ita,mar,italia,marocco,8,41.0,sdi,,,marocco,ita,8,italia,41.0
nulla a procedere sdi,fco,saw,2024,1,2024-01-27 12:20:00,fiumicino,sabiha gokcen,roma,istanbul,ita,tur,italia,turchia,5,6.0,sdi,,,turchia,ita,5,italia,6.0
voli disponibili in ingresso al sistema,bgy,cai,2024,1,2024-01-05 07:55:00,orio al serio,cairo international,bergamo,cairo,ita,egy,italia,egitto,2,1.0,interpol,,,egitto,ita,2,italia,1.0
allarmi generati da sdi/nsis,bgy,tia,2024,2,2024-02-24 22:05:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,,italia,albania,2,35.0,interpol,,,albania,ita,2,italia,35.0
viaggiatori investigati,fco,ika,2024,2,,fiumicino,imam khomeini international,roma,tehran,ita,irn,italia,iran,5,138.0,manuale,,,iran,ita,5,italia,138.0
voli con allarmi,mxp,auh,2024,2,2024-02-22 03:10:00,malpensa,abu dhabi international,milano,abu dhabi,ita,are,italia,emirati arabi uniti,2,1.0,manuale,,,emirati arabi uniti,ita,2,italia,1.0
allarmi generati da sdi/nsis,fco,lhr,,2,2024-02-08 12:40:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,6.0,manuale,,,regno unito,ita,5,italia,6.0
allarmi chiusi,vce,tia,2024,1,2024-01-07 12:30:00,venezia marco polo,rinas mother teresa,venezia,tirana,ita,,italia,albania,4,34.0,tsc,,,albania,ita,4,italia,34.0
viaggiatori investigati,cia,stn,2024,1,2024-01-13 13:15:00,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,150.0,,,,regno unito,ita,5,italia,150.0
"voli solo visualizzati, ma non investigati",fco,cai,2024,2,2024-02-24 04:30:00,fiumicino,,roma,cairo,ita,egy,italia,egitto,5,1.0,tsc,,,egitto,ita,5,italia,1.0
viaggiatori entrati nel sistema,mxp,tpe,2024,1,2024-01-09 23:05:00,malpensa,taiwan taoyuan international,milano,taipei,ita,twn,italia,taiwan,2,279.0,,,,taiwan,ita,2,italia,279.0
"voli solo visualizzati, ma non investigati",cia,stn,2024,2,,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,1.0,,,,regno unito,ita,5,italia,1.0
viaggiatori entrati nel sistema,mxp,spx,2024,1,2024-01-03 19:50:00,malpensa,sphinx international,milano,giza,ita,egy,italia,egitto,2,197.0,,,,egitto,ita,2,italia,197.0
voli disponibili in ingresso al sistema,fco,mle,2024,2,2024-02-05 13:25:00,fiumicino,male international,roma,male,ita,mdv,italia,maldive,5,1.0,manuale,,,maldive,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),blq,lhr,2024,1,2024-01-06 13:55:00,guglielmo marconi,,bologna,londra,ita,gbr,italia,regno unito,8,1.0,tsc,,,regno unito,ita,8,italia,1.0
"voli solo visualizzati, ma non investigati",mxp,ist,2024,1,2024-01-29 08:40:00,malpensa,havalimani,milano,istanbul,ita,tur,italia,turchia,2,1.0,sdi,,,turchia,ita,2,italia,1.0
viaggiatori entrati nel sistema,cia,tia,2024,1,2024-01-04 18:55:00,ciampino,rinas mother teresa,roma,tirana,ita,alb,italia,albania,5,187.0,,,alto,albania,ita,5,italia,187.0
voli investigati (sdi/nsis - interpol - tsc),mxp,spx,2024,2,2024-02-05 12:05:00,malpensa,sphinx international,milano,giza,ita,egy,italia,egitto,2,1.0,nsis,,,egitto,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",blq,lhr,2024,2,2024-02-01 14:35:00,guglielmo marconi,london heathrow,bologna,londra,ita,gbr,italia,regno unito,8,1.0,interpol,,,regno unito,ita,8,italia,1.0
viaggiatori investigati,fco,auh,2024,1,2024-01-22 19:30:00,fiumicino,abu dhabi international,roma,abu dhabi,ita,,italia,emirati arabi uniti,5,95.0,sdi,,,emirati arabi uniti,ita,5,italia,95.0
viaggiatori con allarmi,nap,dxb,2024,1,2024-01-21 07:30:00,napoli capodichino,dubai international,napoli,dubai,ita,are,italia,emirati arabi uniti,6,10.0,manuale,,,emirati arabi uniti,ita,6,italia,10.0
"voli solo visualizzati, ma non investigati",cta,ist,2024,2,2024-02-07 07:55:00,fontanarossa,havalimani,catania,istanbul,ita,tur,italia,,7,1.0,interpol,,,turchia,ita,7,italia,1.0
viaggiatori investigati,fco,gru,2024,1,2024-01-29 20:40:00,fiumicino,sao paulo/guarulhos-governador andre franco montoro international,roma,san paolo,deu,bra,italia,brasile,5,247.0,nsis,,,brasile,ita,5,italia,247.0
allarmi chiusi,bgy,fez,2024,1,2024-01-19 20:55:00,orio al serio,saiss,bergamo,fes,ita,mar,italia,marocco,2,25.0,sdi,,,marocco,ita,2,italia,25.0
voli con allarmi,nap,dxb,2024,12,2024-02-19 07:30:00,napoli capodichino,,napoli,dubai,ita,are,italia,emirati arabi uniti,6,1.0,manuale,,,emirati arabi uniti,ita,6,italia,1.0
viaggiatori investigati,fco,cmn,2024,2,2024-02-04 13:00:00,fiumicino,mohamed v,roma,casablanca,ita,mar,italia,marocco,5,109.0,interpol,,,marocco,ita,5,italia,109.0
viaggiatori entrati nel sistema,tsf,tia,2024,2,2024-02-24 15:25:00,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,alb,italia,albania,4,170.0,tsc,,,albania,ita,4,italia,170.0
voli con allarmi,mxp,ist,2024,1,2024-01-30 08:40:00,malpensa,havalimani,milano,istanbul,ita,tur,italia,,2,1.0,tsc,,,turchia,ita,2,italia,1.0
viaggiatori investigati,bgy,stn,2024,1,2024-01-19 19:05:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,161.0,tsc,,,regno unito,ita,2,italia,161.0
allarmi generati da sdi/nsis,nap,lgw,2024,2,,napoli capodichino,london gatwick,napoli,londra,ita,gbr,italia,regno unito,6,8.0,manuale,,,regno unito,ita,6,italia,8.0
viaggiatori entrati nel sistema,tsf,tia,2024,1,2024-01-17 16:05:00,treviso-sant'angelo,rinas mother teresa,treviso,?,ita,alb,italia,albania,4,178.0,sdi,,,albania,ita,4,italia,178.0
viaggiatori investigati,mxp,stn,2024,1,2024-01-28 11:40:00,malpensa,stansted,milano,londra,ita,gbr,italia,regno unito,2,177.0,nsis,,,regno unito,ita,2,italia,177.0
viaggiatori investigati,trn,lgw,2024,2,2024-02-12 08:10:00,sandro pertini,london gatwick,torino,londra,ita,gbr,italia,regno unito,1,143.0,interpol,,,regno unito,ita,1,italia,143.0
voli con allarmi,mxp,cai,2024,2,2024-02-03 13:00:00,malpensa,cairo international,milano,cairo,ita,egy,italia,,2,1.0,tsc,,,egitto,ita,2,italia,1.0
voli disponibili in ingresso al sistema,fco,doh,2024,1,2024-01-15 02:30:00,fiumicino,hamad international,roma,doha,ita,qat,italia,qatar,5,1.0,tsc,passeggero noto,,qatar,ita,5,italia,1.0
allarmi generati da sdi/nsis,bgy,cai,2024,2,2024-02-12 07:50:00,orio al serio,cairo international,bergamo,,ita,egy,italia,egitto,2,37.0,,,,egitto,ita,2,italia,37.0
"voli solo visualizzati, ma non investigati",bgy,man,2024,8,2024-02-25 08:45:00,orio al serio,manchester,bergamo,manchester,ita,gbr,italia,regno unito,2,1.0,nsis,,,regno unito,ita,2,italia,1.0
viaggiatori entrati nel sistema,bgy,cai,2024,,,orio al serio,cairo international,bergamo,cairo,ita,egy,italia,egitto,2,165.0,interpol,,,egitto,ita,2,italia,165.0
voli con allarmi,fco,lgw,2024,1,,fiumicino,london gatwick,roma,londra,ita,gbr,italia,regno unito,5,1.0,,,,regno unito,ita,5,italia,1.0
viaggiatori investigati,fco,hgh,2024,1,2024-01-10 00:55:00,fiumicino,hangzhou,roma,hangzhou,ita,chn,italia,cina,5,238.0,sdi,,,cina,ita,5,italia,238.0
voli investigati (sdi/nsis - interpol - tsc),lin,lhr,2024,1,2024-01-11 06:45:00,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,1.0,,,,regno unito,ita,2,italia,1.0
voli con allarmi,bgy,cmn,2024,1,2024-01-02 07:00:00,orio al serio,mohamed v,bergamo,casablanca,ita,mar,italia,marocco,2,1.0,sdi,,,marocco,ita,2,italia,1.0
viaggiatori investigati,mxp,cai,2024,2,,malpensa,cairo international,milano,cairo,ita,eg,italia,egitto,2,101.0,tsc,,,egitto,ita,2,italia,101.0
nulla a procedere sdi,vce,ist,2024,2,2024-02-21 08:10:00,venezia marco polo,havalimani,venezia,istanbul,ita,tur,italia,turchia,4,8.0,manuale,,,turchia,ita,4,italia,8.0
allarmi generati da sdi/nsis,bgy,tia,2024,1,,orio al serio,rinas mother teresa,bergamo,tirana,ita,,italia,albania,2,25.0,tsc,,,albania,ita,2,italia,25.0
viaggiatori entrati nel sistema,trn,lgw,2024,1,,sandro pertini,london gatwick,torino,londra,ita,gbr,italia,regno unito,1,122.0,,,,regno unito,ita,1,italia,122.0
nulla a procedere sdi,psa,tia,2024,2,2024-02-22 21:50:00,galileo galilei,rinas mother teresa,pisa,tirana,ita,alb,italia,albania,8,19.0,sdi,,,albania,ita,8,italia,19.0
viaggiatori con allarmi,fco,wnz,2024,1,2024-01-25 11:00:00,fiumicino,wenzhou,roma,wenzhou,ita,chn,italia,cina,5,70.0,nsis,,,cina,ita,5,italia,70.0
allarmi generati da sdi/nsis,fco,doh,2024,1,2024-01-06 09:15:00,fiumicino,hamad international,roma,doha,ita,qat,italia,qatar,5,13.0,,,,qatar,ita,5,italia,13.0
voli con allarmi,mxp,tlv,2024,1,,malpensa,ben gurion international,milano,tel aviv yafo,ita,isr,italia,israele,2,1.0,sdi,,,israele,ita,2,italia,1.0
viaggiatori entrati nel sistema,fco,amm,2024,1,2024-01-24 12:00:00,fiumicino,queen alia international,roma,amman,ita,jor,italia,giordania,5,37.0,tsc,,,giordania,ita,5,italia,37.0
allarmi generati da sdi/nsis,fco,icn,2024,2,2024-02-06 14:05:00,fiumicino,incheon international,roma,seoul,ita,kor,italia,corea del sud,5,2.0,tsc,,,corea del sud,ita,5,italia,2.0
allarmi generati da bcs,fco,gru,2024,1,2024-01-06 18:00:00,fiumicino,sao paulo/guarulhos-governador andre franco montoro international,roma,san paolo,ita,bra,italia,brasile,5,1.0,tsc,,,brasile,ita,5,italia,1.0
allarmi generati da sdi/nsis,fco,doh,2024,2,2024-02-25 02:30:00,fiumicino,hamad international,roma,,ita,qat,italia,qatar,5,14.0,interpol,,,qatar,ita,5,italia,14.0
nulla a procedere sdi,blq,tia,2024,1,2024-01-23 11:05:00,guglielmo marconi,rinas mother teresa,bologna,tirana,ita,alb,italia,albania,8,12.0,tsc,,,albania,ita,8,italia,12.0
"voli solo visualizzati, ma non investigati",blq,ist,2024,2,2024-02-06 09:25:00,guglielmo marconi,havalimani,bologna,istanbul,ita,tur,italia,turchia,8,1.0,manuale,,,turchia,ita,8,italia,1.0
viaggiatori investigati,blq,ist,2024,2,2024-02-17 09:25:00,guglielmo marconi,havalimani,bologna,istanbul,ita,tur,italia,turchia,8,156.0,tsc,,,turchia,ita,8,italia,156.0
voli investigati (sdi/nsis - interpol - tsc),lin,lcy,2024,1,2024-01-13 08:30:00,linate,london city,milano,,ita,gbr,italia,regno unito,2,1.0,sdi,,,regno unito,ita,2,italia,1.0
viaggiatori investigati,vrn,kiv,2024,1,2024-01-07 10:00:00,verona villafranca,chisinau international airport,verona,chisinau,ita,mda,italia,moldavia,4,,nsis,,,moldavia,ita,4,italia,181.0
voli investigati (sdi/nsis - interpol - tsc),bgy,saw,2024,1,2024-01-23 10:35:00,orio al serio,sabiha gokcen,bergamo,istanbul,ita,tur,italia,,2,1.0,manuale,,,turchia,ita,2,italia,1.0
voli disponibili in ingresso al sistema,fco,amm,,1,2024-01-02 12:00:00,fiumicino,queen alia international,roma,amman,ita,jor,italia,giordania,5,1.0,nsis,,,giordania,ita,5,italia,1.0
voli disponibili in ingresso al sistema,mxp,cai,2024,1,,malpensa,cairo international,milano,cairo,ita,egy,italia,egitto,2,1.0,tsc,,,egitto,ita,2,italia,1.0
viaggiatori entrati nel sistema,mxp,wnz,2024,2,2024-02-24 12:40:00,malpensa,wenzhou,milano,wenzhou,ita,chn,italia,cina,2,,interpol,,,cina,ita,2,italia,
voli con allarmi,mxp,ssh,2024,1,2024-01-02 21:35:00,malpensa,sharm el-sheikh international,milano,sharm el sheikh,ita,egy,italia,egitto,2,1.0,nsis,,,egitto,ita,2,italia,1.0
viaggiatori investigati,peg,tia,2024,1,2024-01-03 12:30:00,sant egidio,rinas mother teresa,perugia,tirana,ita,alb,italia,albania,5,134.0,nsis,,,albania,ita,5,italia,134.0
voli con allarmi,vce,bhx,2024,1,2024-01-05 13:40:00,venezia marco polo,birmingham international,venezia,birmingham,ita,gbr,italia,regno unito,4,1.0,manuale,,,regno unito,ita,4,italia,1.0
nulla a procedere sdi,fco,doh,2024,1,2024-01-31 15:35:00,fiumicino,hamad international,roma,doha,ita,qat,italia,qatar,5,15.0,sdi,,,qatar,ita,5,italia,15.0
allarmi generati da bcs,mxp,ssh,2023,2,2024-02-16 13:40:00,malpensa,sharm el-sheikh international,milano,sharm el sheikh,ita,egy,italia,egitto,2,13.0,sdi,,,egitto,ita,2,italia,13.0
voli disponibili in ingresso al sistema,fco,lgw,2024,1,2024-01-24 21:15:00,fiumicino,london gatwick,roma,londra,ita,gbr,italia,regno unito,5,1.0,manuale,,,regno unito,ita,5,italia,1.0
allarmi chiusi,bgy,stn,2024,2,2024-02-11 12:00:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,1.0,,,,regno unito,ita,2,italia,1.0
allarmi chiusi,lin,lhr,2024,2,2024-02-18 11:45:00,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,2.0,interpol,,,regno unito,ita,2,italia,2.0
voli con allarmi,fco,ewr,2024,1,2024-01-02 17:40:00,fiumicino,newark liberty international,roma,newark,ita,usa,italia,stati uniti,5,1.0,sdi,,,stati uniti,ita,5,italia,1.0
notifica atti/provv,mxp,cgo,2024,4,2024-02-26 14:50:00,malpensa,zhengzhou,milano,zhengzhou,ita,chn,italia,cina,2,1.0,tsc,,,cina,ita,2,italia,1.0
viaggiatori entrati nel sistema,cta,tia,2024,2,2024-02-26 20:30:00,fontanarossa,rinas mother teresa,catania,tirana,ita,alb,italia,albania,7,66.0,sdi,,,albania,ita,7,italia,66.0
"voli solo visualizzati, ma non investigati",bgy,edi,2023,1,2024-01-14 16:15:00,orio al serio,edinburgh,bergamo,edinburgh,ita,gbr,italia,regno unito,2,1.0,manuale,,,regno unito,ita,2,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,tia,2024,8,2024-02-04 06:10:00,fiumicino,,roma,,ita,alb,italia,albania,5,1.0,,,,albania,ita,5,italia,1.0
viaggiatori investigati,fco,add,2024,1,2024-01-03 22:40:00,fiumicino,bole international,roma,addis ababa,ita,eth,italia,etiopia,5,0.0,nsis,,,etiopia,ita,5,italia,0.0
viaggiatori investigati,fco,dxb,2024,5,2024-01-19 08:55:00,fiumicino,dubai international,roma,dubai,ita,are,italia,emirati arabi uniti,5,328.0,tsc,,,emirati arabi uniti,ita,5,italia,328.0
voli disponibili in ingresso al sistema,fco,ist,2024,1,,fiumicino,havalimani,roma,istanbul,ita,tur,italia,turchia,5,,manuale,,,turchia,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",fco,eze,2024,2,2024-02-11 13:45:00,fiumicino,,roma,buenos aires,ita,arg,italia,argentina,5,1.0,,,,argentina,ita,5,italia,1.0
viaggiatori con allarmi,bri,tia,2024,1,2024-01-23 16:40:00,palese,rinas mother teresa,bari,tirana,ita,alb,italia,albania,9,9.0,sdi,,,albania,ita,9,italia,9.0
voli disponibili in ingresso al sistema,bgy,tia,2024,2,2024-02-27 22:05:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,1.0,interpol,,,albania,ita,2,italia,1.0
allarmi generati da sdi/nsis,cta,ssh,2024,1,2024-01-01 11:40:00,fontanarossa,sharm el-sheikh international,catania,sharm el sheikh,ita,egy,italia,egitto,7,11.0,manuale,,,egitto,ita,7,italia,11.0
