occorrenze,areoporto_arrivo,areoporto_partenza,anno_partenza,mese_partenza,data_partenza,descr_aereoporto_arr,descr_aereoporto_part,citta_arr,citta_partenza,codice_paese_arr,codice_paese_part,paese_arr,paese_part,zona,tot,motivo_allarme,note_operatore,flag_rischio,paese_partenza,codice_paese_arr__1,col_3zona,paese_arr__1,tot_voli
allarmi chiusi,fco,dxb,2024,1,2024-01-08 15:05:00,fiumicino,dubai international,roma,dubai,ita,are,italia,emirati arabi uniti,5,15.0,manuale,,,emirati arabi uniti,ita,5,italia,15.0
voli investigati (sdi/nsis - interpol - tsc),mxp,stn,2024,2,2024-02-21 08:20:00,malpensa,stansted,milano,,ita,gbr,italia,regno unito,2,1.0,manuale,,,regno unito,ita,2,italia,1.0
viaggiatori investigati,fco,cai,2024,1,2024-01-17 10:00:00,fiumicino,,roma,cairo,ita,egy,italia,egitto,5,104.0,tsc,,,egitto,ita,5,italia,104.0
nulla a procedere sdi,lin,lcy,2024,1,2024-01-25 12:35:00,linate,london city,milano,londra,ita,gbr,italia,regno unito,2,2.0,nsis,,,regno unito,ita,2,italia,2.0
nulla a procedere sdi,vrn,ssh,2024,2,,verona villafranca,sharm el-sheikh international,verona,sharm el sheikh,ita,egy,italia,,4,10.0,sdi,,,egitto,ita,4,italia,10.0
voli con allarmi,mxp,yul,2024,2,2024-02-19 20:30:00,malpensa,montreal-pierre elliott trudeau international,milano,montreal,ita,//,italia,canada,2,1.0,,,,canada,ita,2,italia,1.0
viaggiatori con allarmi,fco,jfk,2024,2,2024-02-11 19:45:00,fiumicino,john f kennedy international,roma,new york,ita,usa,italia,stati uniti,5,,tsc,,,stati uniti,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),psa,rak,2024,1,2024-01-13 19:35:00,galileo galilei,menara,pisa,marrakech,ita,mar,italia,marocco,8,1.0,nsis,,,marocco,ita,8,italia,1.0
allarmi chiusi,vce,ist,2024,2,2024-02-08 08:10:00,venezia marco polo,havalimani,venezia,istanbul,ita,tur,italia,turchia,4,6.0,sdi,,,turchia,ita,4,italia,6.0
"voli solo visualizzati, ma non investigati",vce,ist,2024,1,2024-01-18 08:10:00,venezia marco polo,havalimani,venezia,istanbul,ita,tur,italia,turchia,4,1.0,manuale,,,turchia,ita,4,italia,1.0
allarmi generati da sdi/nsis,bgy,man,2024,2,2024-02-12 18:20:00,orio al serio,manchester,bergamo,manchester,ita,gbr,italia,regno unito,2,10.0,manuale,,,regno unito,ita,2,italia,10.0
nulla a procedere sdi,mxp,beg,2024,2,2024-02-16 07:00:00,malpensa,nikola tesla,milano,belgrado,deu,,italia,serbia,2,2.0,interpol,,,serbia,ita,2,italia,2.0
viaggiatori entrati nel sistema,trn,tia,2024,2,2024-02-26 06:25:00,sandro pertini,rinas mother teresa,torino,tirana,ita,alb,italia,albania,1,208.0,,,,albania,ita,1,italia,208.0
allarmi chiusi,trn,lgw,2024,2,2024-02-16 09:50:00,sandro pertini,london gatwick,torino,londra,ita,gbr,italia,regno unito,1,1.0,,,,regno unito,ita,1,italia,1.0
