dataset,group_key,group_volume,n_records,rate,baseline_mean,baseline_std
allarmi_raw,cmn|vce,385.0,12,32.083333333333336,35.0,44.591479006644306
allarmi_raw,cun|fco,2.0,1,2.0,2.0,
allarmi_raw,cun|mxp,1.0,1,1.0,1.0,
allarmi_raw,del|fco,873.0,21,41.57142857142857,41.57142857142857,91.30912957014289
allarmi_raw,del|mxp,340.0,6,56.666666666666664,56.666666666666664,102.24023995798655
allarmi_raw,dfw|fco,143.0,8,17.875,17.875,46.13470184455205
allarmi_raw,dmm|fco,324.0,4,81.0,81.0,99.11609354691093
allarmi_raw,doh|fco,1424.0,45,31.644444444444446,33.904761904761905,73.19429856638325
allarmi_raw,doh|mxp,3683.0,60,61.38333333333333,63.5,104.60690829557049
allarmi_raw,dss|fco,72.0,1,72.0,72.0,
allarmi_raw,dss|mxp,674.0,11,61.27272727272727,67.4,120.225898485587
allarmi_raw,dwc|cia,1.0,1,1.0,1.0,
allarmi_raw,dwc|fco,198.0,3,66.0,66.0,103.20368210485515
allarmi_raw,dwc|mxp,45.0,2,22.5,22.5,10.606601717798213
allarmi_raw,dwc|pmo,185.0,1,185.0,185.0,
allarmi_raw,dwc|vce,1.0,1,1.0,1.0,
allarmi_raw,dxb|bgy,349.0,19,18.36842105263158,18.36842105263158,140.31045360846377
allarmi_raw,dxb|blq,881.0,16,55.0625,55.0625,107.86872809113864
allarmi_raw,dxb|cta,382.0,13,29.384615384615383,29.384615384615383,44.07860112257508
allarmi_raw,dxb|fco,1469.0,29,50.6551724137931,52.464285714285715,110.82902485956805
allarmi_raw,dxb|lin,1.0,1,1.0,1.0,
allarmi_raw,dxb|mxp,1600.0,29,55.172413793103445,57.142857142857146,141.7751778634083
allarmi_raw,dxb|nap,582.0,20,29.1,29.1,45.21399410755363
allarmi_raw,dxb|psa,42.0,8,5.25,7.0,9.695359714832659
allarmi_raw,dxb|vce,783.0,18,43.5,43.5,88.6083583894352
allarmi_raw,edi|bgy,365.0,17,21.470588235294116,21.470588235294116,56.94088782133936
allarmi_raw,edi|cia,7.0,3,2.3333333333333335,2.3333333333333335,1.5275252316519468
allarmi_raw,edi|mxp,306.0,8,38.25,43.714285714285715,71.01106553609394
allarmi_raw,edi|nap,256.0,5,51.2,51.2,117.5848629713876
allarmi_raw,edi|pmf,1.0,1,1.0,1.0,
allarmi_raw,edi|trn,1.0,1,1.0,1.0,
allarmi_raw,edi|vce,652.0,15,43.46666666666667,43.46666666666667,72.07918925605036
allarmi_raw,ema|bgy,396.0,9,44.0,44.0,74.11983540186797
allarmi_raw,ema|cia,240.0,6,40.0,40.0,61.26010120788244
allarmi_raw,ema|trn,185.0,3,61.666666666666664,61.666666666666664,105.07774899251189
allarmi_raw,evn|fco,129.0,10,12.9,14.333333333333334,38.180492401225
allarmi_raw,evn|mxp,405.0,12,33.75,36.81818181818182,78.21996954974884
allarmi_raw,evn|vce,114.0,9,12.666666666666666,14.25,30.676887530703446
allarmi_raw,ewr|fco,1083.0,27,40.111111111111114,41.65384615384615,94.78183045613429
allarmi_raw,ewr|mxp,1681.0,36,46.69444444444444,48.02857142857143,88.57482238008646
allarmi_raw,eze|fco,3202.0,31,103.29032258064517,114.35714285714286,160.7717992328612
allarmi_raw,fab|bzo,1.0,2,0.5,0.5,0.7071067811865476
allarmi_raw,fab|lin,6.0,3,2.0,2.0,1.7320508075688772
allarmi_raw,fab|mxp,1.0,1,1.0,1.0,
allarmi_raw,fab|olb,1.0,1,1.0,1.0,
allarmi_raw,fez|bgy,378.0,9,42.0,42.0,57.04165144874401
allarmi_raw,gig|fco,1323.0,17,77.82352941176471,77.82352941176471,121.25347175138825
allarmi_raw,gla|fco,176.0,4,44.0,44.0,86.0
allarmi_raw,gla|trn,169.0,4,42.25,42.25,81.83469109532135
allarmi_raw,gla|vrn,2.0,2,1.0,1.0,0.0
allarmi_raw,gru|fco,3029.0,41,73.8780487804878,77.66666666666667,132.8393040547653
allarmi_raw,gru|mxp,816.0,10,81.6,81.6,163.68614955320916
allarmi_raw,gyd|fco,5.0,5,1.0,1.0,0.0
allarmi_raw,gyd|mxp,33.0,10,3.3,3.3,3.0568684048294332
allarmi_raw,hgh|fco,304.0,6,50.666666666666664,50.666666666666664,94.96244871877865
allarmi_raw,hkg|mxp,570.0,8,71.25,81.42857142857143,131.30734574889195
allarmi_raw,hnd|fco,561.0,10,56.1,62.333333333333336,121.43619723953809
allarmi_raw,hrg|fco,1.0,1,1.0,1.0,
allarmi_raw,hrg|mxp,218.0,4,54.5,72.66666666666667,124.13030787576953
allarmi_raw,hrg|nap,155.0,4,38.75,38.75,75.5
allarmi_raw,iad|fco,8.0,6,1.3333333333333333,1.3333333333333333,0.5163977794943223
allarmi_raw,icn|fco,2139.0,21,101.85714285714286,106.95,135.04949385123103
allarmi_raw,icn|mxp,272.0,7,38.857142857142854,45.333333333333336,106.64645641870463
